image,pts
./data_train/sample0.png,[  37.  -21.  381.   41.  398.  610.   15.  620.]
./data_train/sample1.png,[  23.    0.  367.   18.  412.  581.  -19.  557.]
./data_train/sample2.png,[ -20.   34.  403.  -39.  422.  646.    4.  591.]
./data_train/sample3.png,[  33.    0.  399.   54.  369.  636.   27.  646.]
./data_train/sample4.png,[ -35.   53.  404.  -24.  385.  631.   22.  613.]
./data_train/sample5.png,[ -39.    3.  415.   44.  364.  610.   17.  628.]
./data_train/sample6.png,[  21.  -13.  422.  -48.  437.  581.  -16.  610.]
./data_train/sample7.png,[   0.   16.  368.  -34.  403.  639.  -20.  567.]
./data_train/sample8.png,[ -36.  -59.  396.   38.  411.  562.  -35.  577.]
./data_train/sample9.png,[  39.  -35.  433.  -48.  407.  604.  -39.  626.]
./data_train/sample10.png,[   0.   29.  419.   39.  425.  563.   39.  596.]
./data_train/sample11.png,[  15.   17.  389.  -55.  381.  645.  -34.  557.]
./data_train/sample12.png,[ -21.  -30.  432.   50.  421.  631.  -12.  627.]
./data_train/sample13.png,[ -23.   25.  439.   21.  433.  589.   -5.  599.]
./data_train/sample14.png,[ -14.   29.  371.    3.  435.  550.   -4.  585.]
./data_train/sample15.png,[ -16.  -30.  421.   35.  395.  640.   28.  552.]
./data_train/sample16.png,[  35.   35.  433.  -23.  391.  561.   14.  561.]
./data_train/sample17.png,[  22.  -18.  364.  -12.  390.  558.   20.  579.]
./data_train/sample18.png,[ -13.  -29.  438.    0.  403.  583.   35.  646.]
./data_train/sample19.png,[  10.  -25.  412.   -2.  431.  589.   39.  640.]
./data_train/sample20.png,[  -1.  -46.  395.   -6.  392.  587.   -5.  594.]
./data_train/sample21.png,[  39.   57.  394.   34.  413.  560.   32.  556.]
./data_train/sample22.png,[  -5.  -42.  427.   -2.  362.  587.    5.  625.]
./data_train/sample23.png,[   4.   20.  410.   37.  399.  548.   30.  659.]
./data_train/sample24.png,[ -20.  -55.  378.   28.  418.  596.    6.  631.]
./data_train/sample25.png,[   5.   25.  417.   15.  417.  600.    5.  549.]
./data_train/sample26.png,[  16.   40.  412.  -35.  405.  621.   30.  570.]
./data_train/sample27.png,[  -1.   -9.  403.  -45.  384.  591.   22.  544.]
./data_train/sample28.png,[  -1.  -41.  428.  -19.  415.  562.   24.  584.]
./data_train/sample29.png,[  19.   19.  431.   -5.  439.  557.  -37.  635.]
./data_train/sample30.png,[   6.   33.  373.  -25.  383.  636.   29.  541.]
./data_train/sample31.png,[ -18.   52.  391.  -24.  382.  647.   -3.  641.]
./data_train/sample32.png,[ -17.   40.  391.  -18.  412.  573.   14.  550.]
./data_train/sample33.png,[  -5.  -35.  369.   32.  372.  577.  -26.  635.]
./data_train/sample34.png,[  -1.  -55.  384.   24.  406.  556.   37.  554.]
./data_train/sample35.png,[ -31.   41.  405.   20.  412.  565.   38.  585.]
./data_train/sample36.png,[  14.   42.  369.   44.  370.  625.   39.  552.]
./data_train/sample37.png,[ -21.  -12.  385.  -30.  373.  598.  -36.  644.]
./data_train/sample38.png,[   5.   26.  376.  -17.  407.  627.   13.  613.]
./data_train/sample39.png,[  10.  -12.  388.  -53.  381.  576.  -16.  624.]
./data_train/sample40.png,[   3.  -52.  382.  -36.  437.  569.   -8.  624.]
./data_train/sample41.png,[  -2.  -11.  435.   42.  412.  543.  -13.  646.]
./data_train/sample42.png,[ -22.   52.  389.   43.  435.  648.   -5.  582.]
./data_train/sample43.png,[  36.  -36.  376.   28.  383.  627.  -27.  631.]
./data_train/sample44.png,[  14.  -33.  376.  -42.  415.  618.    0.  588.]
./data_train/sample45.png,[  -3.   53.  377.  -50.  423.  578.    0.  545.]
./data_train/sample46.png,[ -34.   22.  389.  -55.  385.  598.   -1.  559.]
./data_train/sample47.png,[  -8.   26.  409.   59.  417.  633.    1.  600.]
./data_train/sample48.png,[ -31.   43.  392.   57.  396.  558.   35.  551.]
./data_train/sample49.png,[  -9.  -28.  408.   10.  366.  564.    3.  575.]
./data_train/sample50.png,[  15.  -28.  432.  -39.  404.  608.    6.  614.]
./data_train/sample51.png,[  22.   49.  386.  -26.  404.  600.    9.  626.]
./data_train/sample52.png,[  -2.   57.  391.   26.  396.  628.  -33.  582.]
./data_train/sample53.png,[   7.   41.  423.  -36.  391.  637.  -20.  643.]
./data_train/sample54.png,[ -24.   54.  384.   13.  381.  587.    0.  649.]
./data_train/sample55.png,[ -17.   12.  382.  -15.  404.  581.  -34.  599.]
./data_train/sample56.png,[  -6.   33.  400.   20.  419.  601.   -1.  551.]
./data_train/sample57.png,[  38.  -57.  381.   -9.  432.  577.   29.  640.]
./data_train/sample58.png,[   8.  -56.  382.  -31.  362.  644.  -26.  599.]
./data_train/sample59.png,[ -28.   35.  377.   -6.  379.  601.   -6.  647.]
./data_train/sample60.png,[ -24.  -23.  417.    9.  365.  572.   -5.  589.]
./data_train/sample61.png,[ -38.  -28.  393.  -39.  437.  562.   -2.  581.]
./data_train/sample62.png,[ -25.    3.  382.    7.  369.  620.   20.  658.]
./data_train/sample63.png,[  14.   58.  408.  -44.  389.  597.  -29.  645.]
./data_train/sample64.png,[   6.  -43.  415.   36.  362.  633.  -24.  585.]
./data_train/sample65.png,[  -7.  -46.  437.   35.  373.  564.   -3.  631.]
./data_train/sample66.png,[   6.  -51.  405.   13.  389.  584.   22.  591.]
./data_train/sample67.png,[  23.   29.  438.    8.  362.  577.   22.  577.]
